index,time,source,destination,protocol,length,description
1,0.000000,86.50.8.240,128.214.173.27,DNS,81,Standard query 0x6a3c A www.tommitenkanen.net
2,0.026588,86.50.8.240,128.214.173.29,DNS,81,Standard query 0x6a3c A www.tommitenkanen.net
3,0.043968,128.214.173.27,86.50.8.240,DNS,111,Standard query response 0x6a3c A www.tommitenkanen.net CNAME tommitenkanen.net A 188.117.28.99
4,0.051278,86.50.8.240,128.214.173.27,DNS,77,Standard query 0xbfaf A tommitenkanen.net
5,0.051940,86.50.8.240,188.117.28.99,TCP,66,52855 → 80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
6,0.058833,188.117.28.99,86.50.8.240,TCP,66,80 → 52855 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128
7,0.058999,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=1 Ack=1 Win=17408 Len=0
8,0.063972,128.214.173.27,86.50.8.240,DNS,93,Standard query response 0xbfaf A tommitenkanen.net A 188.117.28.99
9,0.065256,86.50.8.240,128.214.173.27,DNS,77,Standard query 0xb222 AAAA tommitenkanen.net
10,0.067588,86.50.8.240,34.252.84.252,TCP,66,52856 → 80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
11,0.071609,128.214.173.29,86.50.8.240,DNS,111,Standard query response 0x6a3c A www.tommitenkanen.net CNAME tommitenkanen.net A 188.117.28.99
12,0.073822,128.214.173.27,86.50.8.240,DNS,136,Standard query response 0xb222 AAAA tommitenkanen.net SOA ns1.webhotelli.fi
13,0.113875,34.252.84.252,86.50.8.240,TCP,66,80 → 52856 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1460 SACK_PERM=1 WS=1024
14,0.114020,86.50.8.240,34.252.84.252,TCP,54,52856 → 80 [ACK] Seq=1 Ack=1 Win=17408 Len=0
15,0.114272,86.50.8.240,34.252.84.252,HTTP,213,GET /V3/01/99.28.117.188.ip/ HTTP/1.1 
16,0.159849,86.50.8.240,34.252.84.252,TCP,66,52857 → 80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
17,0.160861,34.252.84.252,86.50.8.240,TCP,60,80 → 52856 [ACK] Seq=1 Ack=160 Win=28672 Len=0
18,0.160861,34.252.84.252,86.50.8.240,HTTP,94,HTTP/1.1 200 OK 
19,0.173790,86.50.8.240,188.117.28.99,HTTP,417,GET / HTTP/1.1 
20,0.177840,188.117.28.99,86.50.8.240,TCP,60,80 → 52855 [ACK] Seq=1 Ack=364 Win=30336 Len=0
21,0.186868,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=1 Ack=364 Win=30336 Len=1460 [TCP segment of a reassembled PDU]
22,0.186868,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=1461 Ack=364 Win=30336 Len=1460 [TCP segment of a reassembled PDU]
23,0.186868,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=2921 Ack=364 Win=30336 Len=1460 [TCP segment of a reassembled PDU]
24,0.186868,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=4381 Ack=364 Win=30336 Len=1460 [TCP segment of a reassembled PDU]
25,0.186868,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=5841 Ack=364 Win=30336 Len=1460 [TCP segment of a reassembled PDU]
26,0.186868,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=7301 Ack=364 Win=30336 Len=1460 [TCP segment of a reassembled PDU]
27,0.186868,188.117.28.99,86.50.8.240,HTTP,154,HTTP/1.1 200 OK  (text/html)
28,0.186972,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=364 Ack=8861 Win=17408 Len=0
29,0.204178,86.50.8.240,34.252.84.252,TCP,54,52856 → 80 [ACK] Seq=160 Ack=41 Win=17408 Len=0
30,0.207500,34.252.84.252,86.50.8.240,TCP,66,80 → 52857 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1460 SACK_PERM=1 WS=1024
31,0.207674,86.50.8.240,34.252.84.252,TCP,54,52857 → 80 [ACK] Seq=1 Ack=1 Win=17408 Len=0
32,0.207855,86.50.8.240,34.252.84.252,HTTP,220,GET /V3/01/jjj.gbzzvgraxnara.arg.m/ HTTP/1.1 
33,0.251935,34.252.84.252,86.50.8.240,TCP,60,80 → 52857 [ACK] Seq=1 Ack=167 Win=28672 Len=0
34,0.252546,34.252.84.252,86.50.8.240,HTTP,122,HTTP/1.1 200 OK 
35,0.294212,86.50.8.240,34.252.84.252,TCP,54,52857 → 80 [ACK] Seq=167 Ack=69 Win=17408 Len=0
36,0.484655,86.50.8.240,188.117.28.99,HTTP,387,GET /Tommi_liitutaulu.jpg HTTP/1.1 
37,0.494068,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=8861 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
38,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=10321 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
39,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=11781 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
40,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=13241 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
41,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=14701 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
42,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=16161 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
43,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [PSH, ACK] Seq=17621 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
44,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=19081 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
45,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=20541 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
46,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=22001 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
47,0.494906,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=23461 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
48,0.495064,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=697 Ack=24921 Win=17408 Len=0
49,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=24921 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
50,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=26381 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
51,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=27841 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
52,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=29301 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
53,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [PSH, ACK] Seq=30761 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
54,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=32221 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
55,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=33681 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
56,0.499279,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=35141 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
57,0.499433,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=697 Ack=36601 Win=17408 Len=0
58,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=36601 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
59,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [PSH, ACK] Seq=38061 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
60,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=39521 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
61,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=40981 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
62,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=42441 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
63,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=43901 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
64,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=45361 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
65,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=46821 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
66,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=48281 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
67,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=49741 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
68,0.504545,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=51201 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
69,0.504815,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=697 Ack=52661 Win=17408 Len=0
70,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [PSH, ACK] Seq=52661 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
71,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=54121 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
72,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=55581 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
73,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=57041 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
74,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=58501 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
75,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=59961 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
76,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=61421 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
77,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=62881 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
78,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=64341 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
79,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=65801 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
80,0.509419,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [PSH, ACK] Seq=67261 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
81,0.509650,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=697 Ack=68721 Win=17408 Len=0
82,0.514332,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=68721 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
83,0.514332,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=70181 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
84,0.514332,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=71641 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
85,0.514332,188.117.28.99,86.50.8.240,TCP,1514,[TCP Previous segment not captured] 80 → 52855 [ACK] Seq=74561 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
86,0.514332,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=76021 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
87,0.514332,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=77481 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
88,0.514332,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=78941 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
89,0.514530,86.50.8.240,188.117.28.99,TCP,66,52855 → 80 [ACK] Seq=697 Ack=73101 Win=17408 Len=0 SLE=74561 SRE=80401
90,0.519299,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=80401 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
91,0.519299,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [PSH, ACK] Seq=81861 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
92,0.519299,188.117.28.99,86.50.8.240,TCP,1514,[TCP Out-Of-Order] 80 → 52855 [ACK] Seq=73101 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
93,0.519299,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=83321 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
94,0.519299,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=84781 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
95,0.519299,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=86241 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
96,0.519299,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=87701 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
97,0.519476,86.50.8.240,188.117.28.99,TCP,66,[TCP Dup ACK 89#1] 52855 → 80 [ACK] Seq=697 Ack=73101 Win=17408 Len=0 SLE=74561 SRE=83321
98,0.519648,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=697 Ack=83321 Win=129792 Len=0
99,0.519765,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=697 Ack=89161 Win=129792 Len=0
100,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=89161 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
101,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=90621 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
102,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=92081 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
103,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=93541 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
104,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=95001 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
105,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [PSH, ACK] Seq=96461 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
106,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=97921 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
107,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=99381 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
108,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=100841 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
109,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=102301 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
110,0.524618,188.117.28.99,86.50.8.240,TCP,1514,80 → 52855 [ACK] Seq=103761 Ack=697 Win=31360 Len=1460 [TCP segment of a reassembled PDU]
111,0.524618,188.117.28.99,86.50.8.240,HTTP,465,HTTP/1.1 200 OK  (JPEG JFIF image)
112,0.524865,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=697 Ack=105632 Win=129792 Len=0
113,0.634028,86.50.8.240,188.117.28.99,HTTP,378,GET /favicon.ico HTTP/1.1 
114,0.639654,188.117.28.99,86.50.8.240,HTTP,569,HTTP/1.1 404 Not Found  (text/html)
115,0.684121,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=1021 Ack=106147 Win=129280 Len=0
116,2.641631,188.117.28.99,86.50.8.240,TCP,60,80 → 52855 [FIN, ACK] Seq=106147 Ack=1021 Win=32512 Len=0
117,2.641728,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [ACK] Seq=1021 Ack=106148 Win=129280 Len=0
118,2.642031,86.50.8.240,188.117.28.99,TCP,54,52855 → 80 [FIN, ACK] Seq=1021 Ack=106148 Win=129280 Len=0
119,2.644402,188.117.28.99,86.50.8.240,TCP,60,80 → 52855 [ACK] Seq=106148 Ack=1022 Win=32512 Len=0
120,3.404554,86.50.8.240,52.71.211.152,TLSv1.2,595,Application Data
121,3.527346,52.71.211.152,86.50.8.240,TLSv1.2,403,Application Data
122,3.569056,86.50.8.240,52.71.211.152,TCP,54,52516 → 443 [ACK] Seq=542 Ack=350 Win=67 Len=0
123,4.268093,86.50.8.240,51.105.249.239,TLSv1.2,97,Application Data
124,4.294127,51.105.249.239,86.50.8.240,TLSv1.2,228,Application Data
125,4.337566,86.50.8.240,51.105.249.239,TCP,54,52494 → 443 [ACK] Seq=44 Ack=175 Win=67 Len=0
126,6.794651,183.134.104.146,86.50.8.240,TCP,66,58322 → 53 [SYN] Seq=0 Win=8192 Len=0 MSS=1260 WS=4 SACK_PERM=1